i,interaction_count,Title,Author
11366,380,Le Petit Robert : dictionnaire alphabétique et analogique de la langue française /,
3055,357,Demon slayer /,"Gotōge, Koyoharu"
10715,305,Vagabond /,"Inoué, Takehiko"
8999,257,Spy x Family /,"Endo, Tatsuya"
611,217,L'Arabe du futur /,"Sattouf, Riad"
4426,189,The Promised Neverland /,"Shirai, Kaiu"
53,178,Fullmetal alchemist /,"Arakawa, Hiromu, 1973-"
2820,177,Soins infirmiers : médecine et chirurgie /,"Brunner, Lillian Sholtis"
13885,151,"Pons Kompaktwörterbuch : Französisch-Deutsch, Deutsch-Französisch /",
14555,151,Tokyo revengers /,"Wakui, Ken"
