i,Title,Author,description,api_title,api_authors,api_source,api_query
0,Classification décimale universelle : édition abrégée /,,"Classification décimale universelle : édition abrégée / is a book from the catalog. It is associated with the following themes: Classification décimale universelle, Indexation (documentation), classification décimale universelle--[tables], Book Classification, Reference Books. The book is published by Ed du CEFAL.",,,Local metadata fallback,
1,Les interactions dans l'enseignement des langues : agir professoral et pratiques de classe /,"Cicurel, Francine, 1947-","Les interactions dans l'enseignement des langues : agir professoral et pratiques de classe / is a book by Cicurel, Francine, 1947-. It is associated with the following themes: didactique--langue étrangère - enseignement, didactique--langue - enseignement. The book is published by Didier.",,,Local metadata fallback,
2,Histoire de vie et recherche biographique : perspectives sociohistoriques /,,"Histoire de vie et recherche biographique : perspectives sociohistoriques / is a book from the catalog. It is associated with the following themes: Histoires de vie en sociologie, Sciences sociales--Méthodologie, Actes de congrès. The book is published by L'Harmattan.",,,Local metadata fallback,
3,"Ce livre devrait me permettre de résoudre le conflit au Proche-Orient, d'avoir mon diplôme, et de trouver une femme /","Mazas, Sylvain, 1980-","Ce livre devrait me permettre de résoudre le conflit au Proche-Orient, d'avoir mon diplôme, et de trouver une femme / is a book by Mazas, Sylvain, 1980-. It is associated with the following themes: Moyen-Orient, Bandes dessinées autobiographiques, Bandes dessinées. The book is published by Vraoum!.",,,Local metadata fallback,
4,Les années glorieuses : roman /,"Lemaitre, Pierre, 1951-","La famille Pelletier : trois histoires d’amour, un lanceur d’alerte, une adolescente égarée, un journaliste ambitieux, une mort tragique, le chat Joseph, une épouse impossible, un sale trafic, une actrice incognito, une descente aux enfers, cet imbécile de Doueiri, un accent mystérieux, la postière de Lamberghem, le retour du passé, un parfum d’exotisme, une passion soudaine et irrésistible. Et quelques meurtres. Après sa remarquable fresque de l’entre-deux-guerres Les Enfants du désastre, Pierre Lemaitre nous propose une plongée tumultueuse dans les Trente Glorieuses.",Le grand monde,,Open Library ISBN -> Work,9782702180815
5,100 idées pour mieux gérer les troubles de l'attention /,"Lussier, Francine","100 idées pour mieux gérer les troubles de l'attention / is a book by Lussier, Francine. It is associated with the following themes: Trouble déficitaire de l'attention avec ou sans hyperactivité, Enfants atteints de troubles de l'attention, Enfants hyperactifs, Guides pratiques. The book is published by Tom Pousse.",,,Local metadata fallback,
6,La boîte à outils des formateurs : 71 outils clés en main + 10 compléments en ligne + 1 podcast /,"Bouchut, Fabienne","La boîte à outils des formateurs : 71 outils clés en main + 10 compléments en ligne + 1 podcast / is a book by Bouchut, Fabienne. It is associated with the following themes: Formateurs (éducation des adultes)--Formation., Personnel--Formation., Animateurs de formation., Guides pratiques.. The book is published by Dunod.",,,Local metadata fallback,
7,L'autorité éducative dans la classe : douze situations pour apprendre à l'exercer /,"Robbes, Bruno","L'autorité éducative dans la classe : douze situations pour apprendre à l'exercer / is a book by Robbes, Bruno. It is associated with the following themes: autorité--relation maître-élève, autorité--enseignement primaire. The book is published by ESF éd.",,,Local metadata fallback,
8,Un autre regard sur le climat /,Emma dessinatrice 1981-....,"Dans la lignée de ses précédents ouvrages, l'autrice et illustratrice Emma s'attaque aujourd'hui au réchauffement climatique. Quelles sont ses causes ? Pourquoi nos gouvernements ne font rien pour l'arrêter ? Peut-on encore agir, et comment ? S'appuyant sur de nombreuses recherches, cette réflexion illustrée nous accompagne à contre-courant dans les coulisses de l'histoire et du présent climatiques de notre société. Elle permet de saisir, en une lecture, les mécanismes à l'oeuvre et les évolutions possibles dans les décennies à venir. Des connaissances indispensables pour se défendre intellectuellement contre la désinformation et les fausses solutions — pour contribuer aux changements nécessaires par l'action et l'engagement collectifs.",Un autre regard sur le climat,,Open Library ISBN -> Work,9791097160821
9,Le mirage de la croissance verte /,"Auffret, Anthony","Le mirage de la croissance verte / is a book by Auffret, Anthony. It is associated with the following themes: Développement économique--Aspect environnemental, Développement durable--Aspect environnemental, Bandes dessinées. The book is published by Delcourt.",,,Local metadata fallback,
10,Vieille fille : une proposition /,"Kock, Marie","Vieille fille : une proposition / is a book by Kock, Marie. It is associated with the following themes: Célibataires, Femmes, Jeunes femmes, Sociologie, Sexualité. The book is published by La Découverte.",,,Local metadata fallback,
11,Rendre les élèves acteurs de leurs apprentissages /,"Béal, Yves","Présentation de réflexions et de remarques autour de cette question pédagogique, avec des pistes et des outils. [source inconnue].",Un projet pour-- rendre les élèves acteurs de leurs apprentissages,,Open Library ISBN,9782206013725
12,L'apprentissage par projets au secondaire : guide pratique pour planifier et réaliser des projets avec ses élèves /,"Larmer, John","L'apprentissage par projets au secondaire : guide pratique pour planifier et réaliser des projets avec ses élèves / is a book by Larmer, John. It is associated with the following themes: apprentissage (psychologie)--enseignement secondaire--pédagogie du projet, Enseignement - Méthode des projets, Enseignement secondaire, Méthodes actives, Enseignement en équipe. The book is published by Chenelière éducation.",,,Local metadata fallback,
13,Pour une pédagogie du projet /,"Bordalo, Isabelle","Pour une pédagogie du projet / is a book by Bordalo, Isabelle. It is associated with the following themes: Enseignement--Méthode des projets. The book is published by Hachette éducation.",,,Local metadata fallback,
14,Une classe qui coopère : pourquoi ? comment ? /,"Staquet, Christian","Une classe qui coopère : pourquoi ? comment ? / is a book by Staquet, Christian. It is associated with the following themes: apprentissage (psychologie)--classe (enseignement)--coopération--élève. The book is published by Chronique sociale.",,,Local metadata fallback,
15,Penser le projet : concepts et outils d'une pédagogie émancipatrice /,"Tilman, Francis","Penser le projet : concepts et outils d'une pédagogie émancipatrice / is a book by Tilman, Francis. It is associated with the following themes: pédagogie de la maîtrise. The book is published by Chronique sociale.",,,Local metadata fallback,
16,Pays-Bas /,"Williams, Nicola","Pays-Bas / is a book by Williams, Nicola. It is associated with the following themes: Pays-Bas, Guides touristiques et de visite. The book is published by Lonely planet.",,,Local metadata fallback,
17,Amsterdam : balades urbaines /,"Vanderhaeghe, Katherine","Amsterdam : balades urbaines / is a book by Vanderhaeghe, Katherine. It is associated with the following themes: Amsterdam (Pays-Bas), Guides touristiques et de visite. The book is published by Hachette.",,,Local metadata fallback,
